time_s,rpm,rpm_raw,engine_state,throttle_gas_pct,brake,ignition,gear_selector,gear_auto,gear_physical,clutch_pressure,road_implied_rpm,creep_relief_fired,vehicle_speed_kmh,target_speed_kmh,sim_speed_mph,engine_torque_nm,drivetrain_torque_nm,dyno_torque_nm,starter_engaged,exhaust_flow_cm3s,synth_out_rms
1.616,1038,1121,Running,5,0.00,1,99,1,1,0.6000,-184.1,0,5.231,-2.000,3.250,36.2,-607.3,0.0,0,64314.0505,-1.0000
1.633,1045,1078,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.278,-2.000,3.279,33.9,-556.7,0.0,0,23466.8960,-1.0000
1.649,1051,1095,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.324,-2.000,3.308,33.7,-551.7,0.0,0,51966.5218,-1.0000
1.666,1058,1106,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.373,-2.000,3.338,34.8,-572.0,0.0,0,11673.5659,-1.0000
1.683,1067,1117,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.422,-2.000,3.369,35.8,-588.9,0.0,0,58142.6120,-1.0000
1.699,1077,1141,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.473,-2.000,3.401,36.8,-606.4,0.0,0,63317.5525,-1.0000
1.716,1087,1146,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.526,-2.000,3.434,37.6,-619.9,0.0,0,62757.8947,-1.0000
1.733,1092,1083,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.576,-2.000,3.465,36.4,-593.0,0.0,0,39280.2163,-1.0000
1.749,1091,1083,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.621,-2.000,3.493,33.9,-539.1,0.0,0,9541.8518,-1.0000
1.766,1091,1099,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.667,-2.000,3.522,34.3,-544.6,0.0,0,24719.9824,-1.0000
1.783,1093,1108,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.714,-2.000,3.551,34.9,-555.4,0.0,0,55989.9520,-1.0000
1.799,1094,1105,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.761,-2.000,3.580,35.1,-555.5,0.0,0,38817.0924,-1.0000
1.816,1096,1102,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.808,-2.000,3.609,35.3,-557.7,0.0,0,40909.1415,-1.0000
1.833,1097,1094,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.855,-2.000,3.638,35.1,-550.0,0.0,0,52217.9894,-1.0000
1.849,1091,1047,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.896,-2.000,3.664,32.2,-490.7,0.0,0,6194.2792,-1.0000
1.866,1083,1046,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.936,-2.000,3.688,31.2,-470.9,0.0,0,38797.7011,-1.0000
1.883,1077,1044,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,5.976,-2.000,3.713,31.2,-468.5,0.0,0,-6542.5060,-1.0000
1.899,1071,1031,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.015,-2.000,3.737,31.2,-466.3,0.0,0,43619.4992,-1.0000
1.916,1066,1032,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.054,-2.000,3.762,31.0,-461.2,0.0,0,32005.5329,-1.0000
1.933,1062,1034,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.093,-2.000,3.786,31.0,-459.6,0.0,0,40208.5795,-1.0000
1.949,1056,1013,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.130,-2.000,3.809,30.4,-445.7,0.0,0,47969.7649,-1.0000
1.966,1044,971,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.163,-2.000,3.829,27.4,-387.2,0.0,0,-13867.3592,-1.0000
1.983,1031,967,Running,0,0.00,1,99,1,1,0.6000,-184.1,0,6.194,-2.000,3.849,26.6,-371.5,0.0,0,31523.5712,-1.0000
