timestamp_utc_ms,throttle_pct,speed_kmh,acceleration_g,brake_pct,steering_angle_deg,motor_rpm,motor_hv_voltage,motor_hv_current,gear_selector,motor_torque_nm
1781472546833,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546833,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546835,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546838,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546841,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546844,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546847,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546847,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546849,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546852,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546855,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546858,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546860,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546863,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546866,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546866,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546869,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546871,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546874,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546874,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546877,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546877,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546880,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546880,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546883,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546885,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546888,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546891,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546894,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546894,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546896,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546899,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546902,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546905,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546907,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546910,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546913,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546913,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546916,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546918,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546921,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546921,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546924,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546924,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546927,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546929,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546932,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546932,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546935,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546938,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546941,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546943,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546946,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546946,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546949,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546949,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546951,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546954,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546957,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546960,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546960,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546962,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546965,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546968,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546971,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546974,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546977,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546977,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546979,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546979,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546982,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546984,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546985,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546987,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546990,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546993,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546995,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546998,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472546998,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547001,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547004,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547004,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547007,14.00,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547010,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547012,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547015,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547018,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547020,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547023,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547023,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547026,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547029,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547031,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547032,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547034,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547037,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547037,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547040,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547042,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547045,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547048,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547051,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547051,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547054,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547056,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547059,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547062,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547064,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547065,13.60,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547067,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547070,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547073,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547076,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547078,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547081,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547081,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547084,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
1781472547087,13.20,61.28,,2.00,4.60,,,,4097,-1410.00
